username,review,rating,date,likes,sentiment,language,case_folding,cleaning,token,stopword,stemming,processed_text
Hafies dwi priyadi,"Reload, reload and reload, this app update especialy messages Page did not work properly.",1,2021-09-04 19:47:56,0,negatif,en,"reload, reload and reload, this app update especialy messages page did not work properly.",reload reload and reload this app update especialy messages page did not work properly,"['reload', 'reload', 'and', 'reload', 'this', 'app', 'update', 'especialy', 'messages', 'page', 'did', 'not', 'work', 'properly']","['reload', 'reload', 'reload', 'app', 'update', 'especialy', 'messages', 'page', 'work', 'properly']","['reload', 'reload', 'reload', 'app', 'updat', 'especiali', 'messag', 'page', 'work', 'properli']",reload reload reload app updat especiali messag page work properli
3DS,Top,5,2021-09-03 09:03:05,0,positif,en,top,top,['top'],['top'],['top'],top
Nur Mukhlis,I like this aplication...,5,2021-09-02 20:14:43,0,positif,en,i like this aplication...,i like this aplication,"['i', 'like', 'this', 'aplication']","['like', 'aplication']","['like', 'aplic']",like aplic
Kew Coder,I live you upwork,5,2021-09-02 17:35:24,0,positif,en,i live you upwork,i live you upwork,"['i', 'live', 'you', 'upwork']","['live', 'upwork']","['live', 'upwork']",live upwork
Partiture World,Thankyou,5,2021-08-25 21:46:53,0,positif,en,thankyou,thankyou,['thankyou'],['thankyou'],['thankyou'],thankyou
Sri Nurjanna,udah ajukan proposal tapi blm di acc. semoga bisa dapat kerjaan deh. ntar kalau udah dapat kerjaan dan udah beneran di bayar aku balik lagi kasih 5 bintang,4,2021-08-23 23:09:09,36,positif,id,udah ajukan proposal tapi blm di acc. semoga bisa dapat kerjaan deh. ntar kalau udah dapat kerjaan dan udah beneran di bayar aku balik lagi kasih 5 bintang,udah ajukan proposal tapi blm di acc semoga bisa dapat kerjaan deh ntar kalau udah dapat kerjaan dan udah beneran di bayar aku balik lagi kasih  bintang,"['udah', 'ajukan', 'proposal', 'tapi', 'blm', 'di', 'acc', 'semoga', 'bisa', 'dapat', 'kerjaan', 'deh', 'ntar', 'kalau', 'udah', 'dapat', 'kerjaan', 'dan', 'udah', 'beneran', 'di', 'bayar', 'aku', 'balik', 'lagi', 'kasih', 'bintang']","['udah', 'ajukan', 'proposal', 'blm', 'acc', 'semoga', 'kerjaan', 'deh', 'ntar', 'udah', 'kerjaan', 'udah', 'beneran', 'bayar', 'kasih', 'bintang']","['udah', 'aju', 'proposal', 'blm', 'acc', 'moga', 'kerja', 'deh', 'ntar', 'udah', 'kerja', 'udah', 'beneran', 'bayar', 'kasih', 'bintang']",udah aju proposal blm acc moga kerja deh ntar udah kerja udah beneran bayar kasih bintang
Hendri A,Bagus cuma notifikasi nya kok gak masuk ya kalau ada pesan masuk 😭,5,2021-08-22 12:48:22,10,positif,id,bagus cuma notifikasi nya kok gak masuk ya kalau ada pesan masuk 😭,bagus cuma notifikasi nya kok gak masuk ya kalau ada pesan masuk,"['bagus', 'cuma', 'notifikasi', 'nya', 'kok', 'gak', 'masuk', 'ya', 'kalau', 'ada', 'pesan', 'masuk']","['bagus', 'notifikasi', 'nya', 'gak', 'masuk', 'ya', 'pesan', 'masuk']","['bagus', 'notifikasi', 'nya', 'gak', 'masuk', 'ya', 'pesan', 'masuk']",bagus notifikasi nya gak masuk ya pesan masuk
Arief Simbara,Good for looking online job,5,2021-08-17 03:52:17,0,positif,en,good for looking online job,good for looking online job,"['good', 'for', 'looking', 'online', 'job']","['good', 'looking', 'online', 'job']","['good', 'look', 'onlin', 'job']",good look onlin job
KAMAL KAMALUDIN,Great,5,2021-08-13 06:55:56,1,positif,en,great,great,['great'],['great'],['great'],great
"Yuhendri ,",Great apps,5,2021-08-11 11:28:02,0,positif,en,great apps,great apps,"['great', 'apps']","['great', 'apps']","['great', 'app']",great app
Nico Lukas Setiawan,Good application for freelancer,5,2021-08-10 12:07:58,0,positif,en,good application for freelancer,good application for freelancer,"['good', 'application', 'for', 'freelancer']","['good', 'application', 'freelancer']","['good', 'applic', 'freelanc']",good applic freelanc
Cinung Life,Sumber pemasukan setelah di kick dari sebelah,5,2021-08-03 06:41:54,4,positif,id,sumber pemasukan setelah di kick dari sebelah,sumber pemasukan setelah di kick dari sebelah,"['sumber', 'pemasukan', 'setelah', 'di', 'kick', 'dari', 'sebelah']","['sumber', 'pemasukan', 'kick', 'sebelah']","['sumber', 'pasu', 'kick', 'belah']",sumber pasu kick belah
Danang Givantoro,"Aplikasi ini adalah terobosan yang hebat,untuk mempertemukan jasa dan client. Aplikasi yang mudah diakses dan cepat. Good",5,2021-08-02 02:43:58,18,positif,id,"aplikasi ini adalah terobosan yang hebat,untuk mempertemukan jasa dan client. aplikasi yang mudah diakses dan cepat. good",aplikasi ini adalah terobosan yang hebatuntuk mempertemukan jasa dan client aplikasi yang mudah diakses dan cepat good,"['aplikasi', 'ini', 'adalah', 'terobosan', 'yang', 'hebatuntuk', 'mempertemukan', 'jasa', 'dan', 'client', 'aplikasi', 'yang', 'mudah', 'diakses', 'dan', 'cepat', 'good']","['aplikasi', 'terobosan', 'hebatuntuk', 'mempertemukan', 'jasa', 'client', 'aplikasi', 'mudah', 'diakses', 'cepat', 'good']","['aplikasi', 'terobos', 'hebatuntuk', 'temu', 'jasa', 'client', 'aplikasi', 'mudah', 'akses', 'cepat', 'good']",aplikasi terobos hebatuntuk temu jasa client aplikasi mudah akses cepat good
PRIDERS TV,Sangat penting buat freelancer seperti saya,5,2021-07-31 15:29:19,0,positif,id,sangat penting buat freelancer seperti saya,sangat penting buat freelancer seperti saya,"['sangat', 'penting', 'buat', 'freelancer', 'seperti', 'saya']",['freelancer'],['freelancer'],freelancer
Rion Fransdela,"Bagus sekali, baru daftar 3 hari langsung dapat pekerjaan",5,2021-07-29 05:51:44,18,positif,id,"bagus sekali, baru daftar 3 hari langsung dapat pekerjaan",bagus sekali baru daftar  hari langsung dapat pekerjaan,"['bagus', 'sekali', 'baru', 'daftar', 'hari', 'langsung', 'dapat', 'pekerjaan']","['bagus', 'daftar', 'langsung', 'pekerjaan']","['bagus', 'daftar', 'langsung', 'kerja']",bagus daftar langsung kerja
Abdullah Farrasarib Tsani,Can't login.,2,2021-07-28 13:43:28,0,negatif,en,can't login.,cant login,"['cant', 'login']","['cant', 'login']","['cant', 'login']",cant login
Edy Heronimus,Menyenangkan,5,2021-07-25 02:47:13,1,positif,id,menyenangkan,menyenangkan,['menyenangkan'],['menyenangkan'],['senang'],senang
andi setiawan,Get job never so easy with this app,5,2021-07-25 02:42:50,0,positif,en,get job never so easy with this app,get job never so easy with this app,"['get', 'job', 'never', 'so', 'easy', 'with', 'this', 'app']","['get', 'job', 'never', 'easy', 'app']","['get', 'job', 'never', 'easi', 'app']",get job never easi app
Moh Yusril Firmansyah,"Saya senang menggunakan aplikasi ini, bisa monitoring jika ada client yang masuk dan nyaman dalam menggunakannya dan terus berkembang. Terima Kasih",5,2021-07-23 04:25:03,3,positif,id,"saya senang menggunakan aplikasi ini, bisa monitoring jika ada client yang masuk dan nyaman dalam menggunakannya dan terus berkembang. terima kasih",saya senang menggunakan aplikasi ini bisa monitoring jika ada client yang masuk dan nyaman dalam menggunakannya dan terus berkembang terima kasih,"['saya', 'senang', 'menggunakan', 'aplikasi', 'ini', 'bisa', 'monitoring', 'jika', 'ada', 'client', 'yang', 'masuk', 'dan', 'nyaman', 'dalam', 'menggunakannya', 'dan', 'terus', 'berkembang', 'terima', 'kasih']","['senang', 'aplikasi', 'monitoring', 'client', 'masuk', 'nyaman', 'menggunakannya', 'berkembang', 'terima', 'kasih']","['senang', 'aplikasi', 'monitoring', 'client', 'masuk', 'nyaman', 'guna', 'kembang', 'terima', 'kasih']",senang aplikasi monitoring client masuk nyaman guna kembang terima kasih
Aziz Muslim (Z),"Biar belum dapat job, saya kasih full",5,2021-07-21 08:22:35,0,positif,id,"biar belum dapat job, saya kasih full",biar belum dapat job saya kasih full,"['biar', 'belum', 'dapat', 'job', 'saya', 'kasih', 'full']","['biar', 'job', 'kasih', 'full']","['biar', 'job', 'kasih', 'full']",biar job kasih full
Mas Apin,Good application,5,2021-07-20 04:36:52,0,positif,en,good application,good application,"['good', 'application']","['good', 'application']","['good', 'applic']",good applic
Rike Aprilia,"Aplikasi yang sangat membantu untuk mendapatkan pekerjaan sebagai freelancer, terima kasih",5,2021-07-15 02:43:09,14,positif,id,"aplikasi yang sangat membantu untuk mendapatkan pekerjaan sebagai freelancer, terima kasih",aplikasi yang sangat membantu untuk mendapatkan pekerjaan sebagai freelancer terima kasih,"['aplikasi', 'yang', 'sangat', 'membantu', 'untuk', 'mendapatkan', 'pekerjaan', 'sebagai', 'freelancer', 'terima', 'kasih']","['aplikasi', 'membantu', 'pekerjaan', 'freelancer', 'terima', 'kasih']","['aplikasi', 'bantu', 'kerja', 'freelancer', 'terima', 'kasih']",aplikasi bantu kerja freelancer terima kasih
Muhammad Khoirul Anwar,"I gave this rate for first, may can change after forward, but overrall's good app",4,2021-07-13 07:54:03,1,positif,en,"i gave this rate for first, may can change after forward, but overrall's good app",i gave this rate for first may can change after forward but overralls good app,"['i', 'gave', 'this', 'rate', 'for', 'first', 'may', 'can', 'change', 'after', 'forward', 'but', 'overralls', 'good', 'app']","['gave', 'rate', 'first', 'may', 'change', 'forward', 'overralls', 'good', 'app']","['gave', 'rate', 'first', 'may', 'chang', 'forward', 'overral', 'good', 'app']",gave rate first may chang forward overral good app
Rustini,Perfect,5,2021-07-09 10:20:39,0,positif,en,perfect,perfect,['perfect'],['perfect'],['perfect'],perfect
Pokemon Pet,I really like this app. It helps me finding the perfect job for me. Thank you,5,2021-07-07 13:53:39,1,positif,en,i really like this app. it helps me finding the perfect job for me. thank you,i really like this app it helps me finding the perfect job for me thank you,"['i', 'really', 'like', 'this', 'app', 'it', 'helps', 'me', 'finding', 'the', 'perfect', 'job', 'for', 'me', 'thank', 'you']","['really', 'like', 'app', 'helps', 'finding', 'perfect', 'job', 'thank']","['realli', 'like', 'app', 'help', 'find', 'perfect', 'job', 'thank']",realli like app help find perfect job thank
Hazid Nurdana,Highly recommended,5,2021-07-06 14:01:02,0,positif,en,highly recommended,highly recommended,"['highly', 'recommended']","['highly', 'recommended']","['highli', 'recommend']",highli recommend
jendra putra,"Susah dapet klien, terus kalau quota proposal habis harus beli, job nya aja belum dapet",1,2021-07-04 12:56:03,9,negatif,id,"susah dapet klien, terus kalau quota proposal habis harus beli, job nya aja belum dapet",susah dapet klien terus kalau quota proposal habis harus beli job nya aja belum dapet,"['susah', 'dapet', 'klien', 'terus', 'kalau', 'quota', 'proposal', 'habis', 'harus', 'beli', 'job', 'nya', 'aja', 'belum', 'dapet']","['susah', 'dapet', 'klien', 'quota', 'proposal', 'habis', 'beli', 'job', 'nya', 'aja', 'dapet']","['susah', 'dapet', 'klien', 'quota', 'proposal', 'habis', 'beli', 'job', 'nya', 'aja', 'dapet']",susah dapet klien quota proposal habis beli job nya aja dapet
Yadi Sobari,Ok banget,5,2021-07-04 04:37:39,0,positif,id,ok banget,ok banget,"['ok', 'banget']","['ok', 'banget']","['ok', 'banget']",ok banget
Muhammad Fadhil Albi,Nice one,5,2021-07-02 09:14:58,0,positif,en,nice one,nice one,"['nice', 'one']","['nice', 'one']","['nice', 'one']",nice one
AL GHINA SEJAHTERA,Tengkiu upwork smoga sy dpt byk job dr upwork..secara tampilan ok...digunakan jg enak..sukses trs upwork dan para freelancernya,5,2021-07-01 03:00:14,16,positif,id,tengkiu upwork smoga sy dpt byk job dr upwork..secara tampilan ok...digunakan jg enak..sukses trs upwork dan para freelancernya,tengkiu upwork smoga sy dpt byk job dr upworksecara tampilan okdigunakan jg enaksukses trs upwork dan para freelancernya,"['tengkiu', 'upwork', 'smoga', 'sy', 'dpt', 'byk', 'job', 'dr', 'upworksecara', 'tampilan', 'okdigunakan', 'jg', 'enaksukses', 'trs', 'upwork', 'dan', 'para', 'freelancernya']","['tengkiu', 'upwork', 'smoga', 'sy', 'dpt', 'byk', 'job', 'dr', 'upworksecara', 'tampilan', 'okdigunakan', 'jg', 'enaksukses', 'trs', 'upwork', 'freelancernya']","['tengkiu', 'upwork', 'smoga', 'sy', 'dpt', 'byk', 'job', 'dr', 'upworksecara', 'tampil', 'okdigunakan', 'jg', 'enaksukses', 'trs', 'upwork', 'freelancernya']",tengkiu upwork smoga sy dpt byk job dr upworksecara tampil okdigunakan jg enaksukses trs upwork freelancernya
Maz Anto,Mudah pemakaiannya. Semoga menjadi sumber rejeki ditengah pandemi seperti saat ini..,5,2021-06-23 22:58:16,9,positif,id,mudah pemakaiannya. semoga menjadi sumber rejeki ditengah pandemi seperti saat ini..,mudah pemakaiannya semoga menjadi sumber rejeki ditengah pandemi seperti saat ini,"['mudah', 'pemakaiannya', 'semoga', 'menjadi', 'sumber', 'rejeki', 'ditengah', 'pandemi', 'seperti', 'saat', 'ini']","['mudah', 'pemakaiannya', 'semoga', 'sumber', 'rejeki', 'ditengah', 'pandemi']","['mudah', 'pakai', 'moga', 'sumber', 'rejeki', 'tengah', 'pandemi']",mudah pakai moga sumber rejeki tengah pandemi
Pusat kosmetik murah,Good job for upwork team...,5,2021-06-23 22:46:10,0,positif,en,good job for upwork team...,good job for upwork team,"['good', 'job', 'for', 'upwork', 'team']","['good', 'job', 'upwork', 'team']","['good', 'job', 'upwork', 'team']",good job upwork team
Riko,Semoga rejekinya di sini,5,2021-06-22 14:23:40,7,positif,id,semoga rejekinya di sini,semoga rejekinya di sini,"['semoga', 'rejekinya', 'di', 'sini']","['semoga', 'rejekinya']","['moga', 'rejekinya']",moga rejekinya
Jahid Ulul Azmi,"Nice app, very help me",5,2021-06-20 06:33:49,0,positif,en,"nice app, very help me",nice app very help me,"['nice', 'app', 'very', 'help', 'me']","['nice', 'app', 'help']","['nice', 'app', 'help']",nice app help
aji kurnia,Outstanding experience,5,2021-06-09 12:56:25,0,positif,en,outstanding experience,outstanding experience,"['outstanding', 'experience']","['outstanding', 'experience']","['outstand', 'experi']",outstand experi
widodo hadi nugroho,Walaupun sudah 1 minggu blm dpt order tetap semangat.,5,2021-05-27 12:11:20,8,positif,id,walaupun sudah 1 minggu blm dpt order tetap semangat.,walaupun sudah  minggu blm dpt order tetap semangat,"['walaupun', 'sudah', 'minggu', 'blm', 'dpt', 'order', 'tetap', 'semangat']","['minggu', 'blm', 'dpt', 'order', 'semangat']","['minggu', 'blm', 'dpt', 'order', 'semangat']",minggu blm dpt order semangat
Hadi Nugroho,New bie /blum menikmati hasil dari upwork,5,2021-05-27 09:06:21,2,positif,id,new bie /blum menikmati hasil dari upwork,new bie blum menikmati hasil dari upwork,"['new', 'bie', 'blum', 'menikmati', 'hasil', 'dari', 'upwork']","['new', 'bie', 'blum', 'menikmati', 'hasil', 'upwork']","['new', 'bie', 'blum', 'nikmat', 'hasil', 'upwork']",new bie blum nikmat hasil upwork
yosept panji wiyogo,Greattt,5,2021-05-26 14:32:59,0,positif,en,greattt,greattt,['greattt'],['greattt'],['greattt'],greattt
Feri Markos,Coba Coba dulu semoga ada rejekinya disini. Aamiin,5,2021-05-24 08:02:56,4,positif,id,coba coba dulu semoga ada rejekinya disini. aamiin,coba coba dulu semoga ada rejekinya disini aamiin,"['coba', 'coba', 'dulu', 'semoga', 'ada', 'rejekinya', 'disini', 'aamiin']","['coba', 'coba', 'semoga', 'rejekinya', 'aamiin']","['coba', 'coba', 'moga', 'rejekinya', 'aamiin']",coba coba moga rejekinya aamiin
ahmad Subardan,"I still learn about this app, but i like this app for developing my skill,",5,2021-05-23 07:09:44,0,positif,en,"i still learn about this app, but i like this app for developing my skill,",i still learn about this app but i like this app for developing my skill,"['i', 'still', 'learn', 'about', 'this', 'app', 'but', 'i', 'like', 'this', 'app', 'for', 'developing', 'my', 'skill']","['still', 'learn', 'app', 'like', 'app', 'developing', 'skill']","['still', 'learn', 'app', 'like', 'app', 'develop', 'skill']",still learn app like app develop skill
Andalas,Recommended app for Freelancer 👍🏻,4,2021-05-19 22:28:26,0,positif,en,recommended app for freelancer 👍🏻,recommended app for freelancer,"['recommended', 'app', 'for', 'freelancer']","['recommended', 'app', 'freelancer']","['recommend', 'app', 'freelanc']",recommend app freelanc
Wency tandean,Bt cari kerja ol ok.,5,2021-05-19 01:50:14,5,positif,id,bt cari kerja ol ok.,bt cari kerja ol ok,"['bt', 'cari', 'kerja', 'ol', 'ok']","['bt', 'cari', 'kerja', 'ol', 'ok']","['bt', 'cari', 'kerja', 'ol', 'ok']",bt cari kerja ol ok
Cecep Cahyana,Help me get in touch faster with the job,5,2021-05-18 00:13:50,1,positif,en,help me get in touch faster with the job,help me get in touch faster with the job,"['help', 'me', 'get', 'in', 'touch', 'faster', 'with', 'the', 'job']","['help', 'get', 'touch', 'faster', 'job']","['help', 'get', 'touch', 'faster', 'job']",help get touch faster job
riadon nasikin,"Good apps, but much people make fake work...",5,2021-05-06 20:28:21,0,positif,en,"good apps, but much people make fake work...",good apps but much people make fake work,"['good', 'apps', 'but', 'much', 'people', 'make', 'fake', 'work']","['good', 'apps', 'much', 'people', 'make', 'fake', 'work']","['good', 'app', 'much', 'peopl', 'make', 'fake', 'work']",good app much peopl make fake work
Dicky Wahyudhi,Fitur hampir sama dgn versi web. Memudahkan bagi para freelancer yang mobile.,5,2021-05-06 10:09:00,13,positif,id,fitur hampir sama dgn versi web. memudahkan bagi para freelancer yang mobile.,fitur hampir sama dgn versi web memudahkan bagi para freelancer yang mobile,"['fitur', 'hampir', 'sama', 'dgn', 'versi', 'web', 'memudahkan', 'bagi', 'para', 'freelancer', 'yang', 'mobile']","['fitur', 'dgn', 'versi', 'web', 'memudahkan', 'freelancer', 'mobile']","['fitur', 'dgn', 'versi', 'web', 'mudah', 'freelancer', 'mobile']",fitur dgn versi web mudah freelancer mobile
Azis R,Great,5,2021-05-05 07:54:11,0,positif,en,great,great,['great'],['great'],['great'],great
Di Komik Studio,"Great aplications , good",5,2021-05-02 15:50:07,0,positif,en,"great aplications , good",great aplications  good,"['great', 'aplications', 'good']","['great', 'aplications', 'good']","['great', 'aplic', 'good']",great aplic good
Muhammad Nur Bijak Bestari,I hope i got a job hehe,5,2021-05-01 10:08:53,0,positif,en,i hope i got a job hehe,i hope i got a job hehe,"['i', 'hope', 'i', 'got', 'a', 'job', 'hehe']","['hope', 'got', 'job', 'hehe']","['hope', 'got', 'job', 'hehe']",hope got job hehe
DWI KRISTIYANTO,Focus freelancer needed,5,2021-04-30 05:47:18,0,positif,en,focus freelancer needed,focus freelancer needed,"['focus', 'freelancer', 'needed']","['focus', 'freelancer', 'needed']","['focu', 'freelanc', 'need']",focu freelanc need
Ahmad Sulaiman,Best app for world wide freelancer,5,2021-04-28 08:37:52,1,positif,en,best app for world wide freelancer,best app for world wide freelancer,"['best', 'app', 'for', 'world', 'wide', 'freelancer']","['best', 'app', 'world', 'wide', 'freelancer']","['best', 'app', 'world', 'wide', 'freelanc']",best app world wide freelanc
Bryan Pamungkas,Good app to help freelancer to find many client in the world,5,2021-04-27 13:21:17,0,positif,en,good app to help freelancer to find many client in the world,good app to help freelancer to find many client in the world,"['good', 'app', 'to', 'help', 'freelancer', 'to', 'find', 'many', 'client', 'in', 'the', 'world']","['good', 'app', 'help', 'freelancer', 'find', 'many', 'client', 'world']","['good', 'app', 'help', 'freelanc', 'find', 'mani', 'client', 'world']",good app help freelanc find mani client world
adi sandi,Good apps,5,2021-04-25 04:13:25,0,positif,en,good apps,good apps,"['good', 'apps']","['good', 'apps']","['good', 'app']",good app
data ngasal,"Great app, a very helpful application for freelance job seekers Easy to use, lots of job offers",5,2021-04-24 04:40:07,1,positif,en,"great app, a very helpful application for freelance job seekers easy to use, lots of job offers",great app a very helpful application for freelance job seekers easy to use lots of job offers,"['great', 'app', 'a', 'very', 'helpful', 'application', 'for', 'freelance', 'job', 'seekers', 'easy', 'to', 'use', 'lots', 'of', 'job', 'offers']","['great', 'app', 'helpful', 'application', 'freelance', 'job', 'seekers', 'easy', 'use', 'lots', 'job', 'offers']","['great', 'app', 'help', 'applic', 'freelanc', 'job', 'seeker', 'easi', 'use', 'lot', 'job', 'offer']",great app help applic freelanc job seeker easi use lot job offer
Andi Prawito,Thank you,5,2021-04-21 07:01:50,1,positif,en,thank you,thank you,"['thank', 'you']",['thank'],['thank'],thank
Mas Kulin,Bagus untuk menampung para freelance hanya sudah sebulan saya blm dapat juga job . portofolio sudah banyak padahal,4,2021-04-20 09:22:48,4,positif,id,bagus untuk menampung para freelance hanya sudah sebulan saya blm dapat juga job . portofolio sudah banyak padahal,bagus untuk menampung para freelance hanya sudah sebulan saya blm dapat juga job  portofolio sudah banyak padahal,"['bagus', 'untuk', 'menampung', 'para', 'freelance', 'hanya', 'sudah', 'sebulan', 'saya', 'blm', 'dapat', 'juga', 'job', 'portofolio', 'sudah', 'banyak', 'padahal']","['bagus', 'menampung', 'freelance', 'sebulan', 'blm', 'job', 'portofolio']","['bagus', 'tampung', 'freelance', 'bulan', 'blm', 'job', 'portofolio']",bagus tampung freelance bulan blm job portofolio
Jumladi,Great app,5,2021-04-04 07:26:06,0,positif,en,great app,great app,"['great', 'app']","['great', 'app']","['great', 'app']",great app
Sandro,Seharusnya freelancer diberi 1 kesempatan untuk yg pertama kali mendaftar dan mendapat pekerjaan dengan penilaian keseriusan bahwa layak atau tidak. Portofolio saya menurut saya pribadi sangat layak. Tapi tanpa approved tidak ada gunanya,1,2021-04-04 06:12:38,52,negatif,id,seharusnya freelancer diberi 1 kesempatan untuk yg pertama kali mendaftar dan mendapat pekerjaan dengan penilaian keseriusan bahwa layak atau tidak. portofolio saya menurut saya pribadi sangat layak. tapi tanpa approved tidak ada gunanya,seharusnya freelancer diberi  kesempatan untuk yg pertama kali mendaftar dan mendapat pekerjaan dengan penilaian keseriusan bahwa layak atau tidak portofolio saya menurut saya pribadi sangat layak tapi tanpa approved tidak ada gunanya,"['seharusnya', 'freelancer', 'diberi', 'kesempatan', 'untuk', 'yg', 'pertama', 'kali', 'mendaftar', 'dan', 'mendapat', 'pekerjaan', 'dengan', 'penilaian', 'keseriusan', 'bahwa', 'layak', 'atau', 'tidak', 'portofolio', 'saya', 'menurut', 'saya', 'pribadi', 'sangat', 'layak', 'tapi', 'tanpa', 'approved', 'tidak', 'ada', 'gunanya']","['freelancer', 'kesempatan', 'yg', 'kali', 'mendaftar', 'pekerjaan', 'penilaian', 'keseriusan', 'layak', 'portofolio', 'pribadi', 'layak', 'approved', 'gunanya']","['freelancer', 'sempat', 'yg', 'kali', 'daftar', 'kerja', 'nilai', 'serius', 'layak', 'portofolio', 'pribadi', 'layak', 'approved', 'guna']",freelancer sempat yg kali daftar kerja nilai serius layak portofolio pribadi layak approved guna
Imam Awaludin,Mantap Bisa dicoba lah untuk freelancer,5,2021-03-18 03:25:33,5,positif,id,mantap bisa dicoba lah untuk freelancer,mantap bisa dicoba lah untuk freelancer,"['mantap', 'bisa', 'dicoba', 'lah', 'untuk', 'freelancer']","['mantap', 'dicoba', 'freelancer']","['mantap', 'coba', 'freelancer']",mantap coba freelancer
Ahmad Zaynie,Trusted app for freelancers,5,2021-03-14 12:31:01,0,positif,en,trusted app for freelancers,trusted app for freelancers,"['trusted', 'app', 'for', 'freelancers']","['trusted', 'app', 'freelancers']","['trust', 'app', 'freelanc']",trust app freelanc
Riki Haryandi,But it app ia slowly when open another tab,5,2021-03-10 06:21:33,0,positif,en,but it app ia slowly when open another tab,but it app ia slowly when open another tab,"['but', 'it', 'app', 'ia', 'slowly', 'when', 'open', 'another', 'tab']","['app', 'ia', 'slowly', 'open', 'another', 'tab']","['app', 'ia', 'slowli', 'open', 'anoth', 'tab']",app ia slowli open anoth tab
Nicholas Yeo,Good application..,5,2021-03-04 11:49:05,0,positif,en,good application..,good application,"['good', 'application']","['good', 'application']","['good', 'applic']",good applic
Suci Ramadhani,cukup tau loadnya 1 abad ga perna bisa pasang profil xixi jangan donlot ya kawan ntr nasibnya sama,1,2021-02-20 18:29:15,10,negatif,id,cukup tau loadnya 1 abad ga perna bisa pasang profil xixi jangan donlot ya kawan ntr nasibnya sama,cukup tau loadnya  abad ga perna bisa pasang profil xixi jangan donlot ya kawan ntr nasibnya sama,"['cukup', 'tau', 'loadnya', 'abad', 'ga', 'perna', 'bisa', 'pasang', 'profil', 'xixi', 'jangan', 'donlot', 'ya', 'kawan', 'ntr', 'nasibnya', 'sama']","['tau', 'loadnya', 'abad', 'ga', 'perna', 'pasang', 'profil', 'xixi', 'donlot', 'ya', 'kawan', 'ntr', 'nasibnya']","['tau', 'loadnya', 'abad', 'ga', 'perna', 'pasang', 'profil', 'xixi', 'donlot', 'ya', 'kawan', 'ntr', 'nasib']",tau loadnya abad ga perna pasang profil xixi donlot ya kawan ntr nasib
Tawfiq Arto,Helps me much,5,2021-02-12 16:17:50,0,positif,en,helps me much,helps me much,"['helps', 'me', 'much']","['helps', 'much']","['help', 'much']",help much
Rara Hanna,Aplikasinya lemoot bgt. Tiap ganti layar selalu minta login ulang.,1,2021-02-10 17:41:26,8,negatif,id,aplikasinya lemoot bgt. tiap ganti layar selalu minta login ulang.,aplikasinya lemoot bgt tiap ganti layar selalu minta login ulang,"['aplikasinya', 'lemoot', 'bgt', 'tiap', 'ganti', 'layar', 'selalu', 'minta', 'login', 'ulang']","['aplikasinya', 'lemoot', 'bgt', 'ganti', 'layar', 'login', 'ulang']","['aplikasi', 'lemoot', 'bgt', 'ganti', 'layar', 'login', 'ulang']",aplikasi lemoot bgt ganti layar login ulang
Arif Wijaksana,😍 The best freelance way!,5,2021-02-10 03:56:23,0,positif,en,😍 the best freelance way!,the best freelance way,"['the', 'best', 'freelance', 'way']","['best', 'freelance', 'way']","['best', 'freelanc', 'way']",best freelanc way
Yosita A,"Many works, many opportunities. The right app for competent freelancers",5,2021-02-08 11:18:32,0,positif,en,"many works, many opportunities. the right app for competent freelancers",many works many opportunities the right app for competent freelancers,"['many', 'works', 'many', 'opportunities', 'the', 'right', 'app', 'for', 'competent', 'freelancers']","['many', 'works', 'many', 'opportunities', 'right', 'app', 'competent', 'freelancers']","['mani', 'work', 'mani', 'opportun', 'right', 'app', 'compet', 'freelanc']",mani work mani opportun right app compet freelanc
Erik Nanda,Beat App,5,2021-01-27 15:30:46,0,positif,en,beat app,beat app,"['beat', 'app']","['beat', 'app']","['beat', 'app']",beat app
Fimaxie Merch,Good experience,5,2021-01-24 10:09:02,0,positif,en,good experience,good experience,"['good', 'experience']","['good', 'experience']","['good', 'experi']",good experi
azizul hakim,Best App for Freelancers!,5,2021-01-23 23:38:44,0,positif,en,best app for freelancers!,best app for freelancers,"['best', 'app', 'for', 'freelancers']","['best', 'app', 'freelancers']","['best', 'app', 'freelanc']",best app freelanc
indah senja,Membantu para profesional untuk bekarya,5,2021-01-21 05:40:37,8,positif,id,membantu para profesional untuk bekarya,membantu para profesional untuk bekarya,"['membantu', 'para', 'profesional', 'untuk', 'bekarya']","['membantu', 'profesional', 'bekarya']","['bantu', 'profesional', 'bekarya']",bantu profesional bekarya
nicolaus bagas,the best app,5,2021-01-12 15:53:34,0,positif,en,the best app,the best app,"['the', 'best', 'app']","['best', 'app']","['best', 'app']",best app
Zakaria Harry Utomo,Good for freelancer,5,2021-01-09 12:37:15,0,positif,en,good for freelancer,good for freelancer,"['good', 'for', 'freelancer']","['good', 'freelancer']","['good', 'freelanc']",good freelanc
Donny Wahyudi,a bit laggy on my s7 edge,4,2021-01-09 04:56:47,0,positif,en,a bit laggy on my s7 edge,a bit laggy on my s edge,"['a', 'bit', 'laggy', 'on', 'my', 's', 'edge']","['bit', 'laggy', 'edge']","['bit', 'laggi', 'edg']",bit laggi edg
